MATRICOLA;TIPO BUS;MAC_ADDRESS
1560;EXTRAURBANO;0012f3064ded
1561;EXTRAURBANO;0012f3036723
1562;EXTRAURBANO;0080371d7cc2
1563;EXTRAURBANO;0080371B8573
1564;EXTRAURBANO;0012f3035cf0
1565;EXTRAURBANO;0012f3035d6f
1566;EXTRAURBANO;0080371D8306
1567;EXTRAURBANO;0012f30512db
1568;EXTRAURBANO;0080371b8338
1569;EXTRAURBANO;0012F3035D5A
1570;EXTRAURBANO;0080371b8821
1571;EXTRAURBANO;0080371b8532
1572;EXTRAURBANO;0012f3023225
1573;EXTRAURBANO;0012f3023183
1574;EXTRAURBANO;0080371B832D
1575;EXTRAURBANO;0080371D8DCE
1576;EXTRAURBANO;0080371b8328
1577;EXTRAURBANO;0080371d8bdc
1578;EXTRAURBANO;0080371B8357
1579;EXTRAURBANO;0080371b8672
1580;EXTRAURBANO;0080371d8a0a
1581;EXTRAURBANO;0080371d8dea
1582;EXTRAURBANO;0080371b833c
1583;EXTRAURBANO;0080371b834f
1584;EXTRAURBANO;0080371b866c
1585;EXTRAURBANO;0080371d7cc5
1586;EXTRAURBANO;0080371d8de6
1587;EXTRAURBANO;008037246e39
1588;EXTRAURBANO;0012f3023212
1589;EXTRAURBANO;0080371d7cb7
1601;EXTRAURBANO;0012f30239d7
1602;EXTRAURBANO;0080371d8dbb
1603;EXTRAURBANO;008037246E1E
1604;EXTRAURBANO;0080371b864b
1605;EXTRAURBANO;0080371d8ddf
1606;EXTRAURBANO;0012f30268c9
1607;EXTRAURBANO;0012f30239d9
1611;EXTRAURBANO;0080371d7cf0
1612;EXTRAURBANO;0012f302323e
1613;EXTRAURBANO;0080371D7CFA
1615;EXTRAURBANO;0012f30268bd
1616;EXTRAURBANO;008037246e05
1617;EXTRAURBANO;0080371d7cb2
1618;EXTRAURBANO;0080371b8545
1619;EXTRAURBANO;0080371D8DC0
1620;EXTRAURBANO;0012f3156fe1
1621;EXTRAURBANO;0012f3035ccb
1622;EXTRAURBANO;0012f30239e8
1623;EXTRAURBANO;0012f3035cc6
1624;EXTRAURBANO;0012f3035cd4
1629;EXTRAURBANO;0080371b835a
1630;EXTRAURBANO;0080371d89e9
1631;EXTRAURBANO;0080371D8A14
1632;EXTRAURBANO;0080371d82fc
1633;EXTRAURBANO;008037211C4A
1634;EXTRAURBANO;008037246E30
1635;EXTRAURBANO;0080371B880D
1636;EXTRAURBANO;0080371D8DDB
1637;EXTRAURBANO;0012f318da52
1641;EXTRAURBANO;0080371B8847
1642;EXTRAURBANO;0012f3023211
1643;EXTRAURBANO;0080371d89ea
1644;EXTRAURBANO;008037246E23
1645;EXTRAURBANO;008037246e12
1646;EXTRAURBANO;0080371d8dd7
1647;EXTRAURBANO;0080371D8D8D
1648;EXTRAURBANO;0080371DA04E
1649;EXTRAURBANO;0080371D8DC3
1650;EXTRAURBANO;0080371d8d91
1651;EXTRAURBANO;0012f312e795
1652;EXTRAURBANO;0012f30268ba
